bill_id,term,session,summary,subjects,commem
SB0245,2023_2024,2023-RS,Making rules and regulations promulgated by PSC subject to legislative rule-making review procedures,Public Service Commission; Rules,0
SB0246,2023_2024,2023-RS,Revising membership of Broadband Enhancement Council,Economic Development; Legislature,0
SB0247,2023_2024,2023-RS,Making administrative appeals and judicial review of board action subject to provisions of Administrative Procedures Act,Boards and Commissions; Finance and Administration,0
SB0248,2023_2024,2023-RS,Clarifying when excess funds accumulated by boards are to be transferred to General Revenue Fund,Boards and Commissions; Finance and Administration,0
SB0249,2023_2024,2023-RS,WV Real Estate License Act,Boards and Commissions; Crime; Finance and Administration; Professions and Occupations,0
SB0250,2023_2024,2023-RS,Requiring certain drivers display student driver sign on rear of vehicle,Motor Vehicles,0
SB0251,2023_2024,2023-RS,Displaying official motto of United States in public schools and institutions of higher education,Education (K12),0
SB0252,2023_2024,2023-RS,"Prohibiting obscene materials in or within 2,500 feet of WV schools",Education (K12),0
SB0253,2023_2024,2023-RS,Criminalizing engaging in adult cabaret performance where it may be viewed by minor,Crime,0
SB0254,2023_2024,2023-RS,Relating generally to mandatory state inspection of certain motor vehicles,Motor Vehicles,0
SB0255,2023_2024,2023-RS,Prohibiting discrimination against patients for declining or delaying vaccines,Health,0
SB0256,2023_2024,2023-RS,Relating to WV Economic Development Authority,Economic Development,0
SB0257,2023_2024,2023-RS,"Providing for nonpartisan election of county sheriffs, prosecutors, assessors, county clerks, and circuit clerks",Elections,0
SB0258,2023_2024,2023-RS,Eliminating ceiling on fair market value of consumer goods and permitting dealer to require security deposit,Real and Personal Property,0
SB0259,2023_2024,2023-RS,Relating to regulation of pawnbrokers,Professions and Occupations,0
SB0260,2023_2024,2023-RS,Prohibiting Natural Resources Commission from establishing bag limit for antlered deer,Natural Resources,0
SB0261,2023_2024,2023-RS,Eliminating suspension of driver's license for failure to pay court fines and costs,Motor Vehicles,0
SB0262,2023_2024,2023-RS,Allowing students to transfer schools and retain athletic eligibility,Education (K12),0
SB0263,2023_2024,2023-RS,Requiring PSC to be involved in all construction contracts between utility companies and vendors,Public Service Commission,0
