bill_number,session_year,session_num,action_date,chamber,action,committee,order
HB0026,2015,131,2015-02-03,House,Introduced,,1
HR0026,2015,131,2015-03-04,House,Adopted,,1
HR0027,2015,131,2015-03-04,House,Introduced and Referred to Committee,,2
HR0027,2015,131,2015-03-04,House,Refer to Committee,Health and Aging,1
HCR0027,2015,131,2015-10-01,House,Introduced and Referred to Committee,Agriculture and Rural Development,1
HB0027,2015,131,2015-02-10,House,To committee,Finance,2
HB0027,2015,131,2015-02-03,House,Introduced,,1
HB0028,2015,131,2015-10-15,,Effective 10/15/15,,9
HB0028,2015,131,2015-06-30,Senate,Passed,,8
HB0028,2015,131,2015-06-25,Senate,Reported,Education,7
HB0028,2015,131,2015-04-14,Senate,Refer to Committee,Education,6
HB0028,2015,131,2015-03-26,Senate,Introduced,,5
HB0028,2015,131,2015-03-25,House,Passed,,4
HB0028,2015,131,2015-03-18,House,Reported - Amended,Community and Family Advancement,3
HB0028,2015,131,2015-02-10,House,To committee,Community and Family Advancement,2
HB0028,2015,131,2015-02-03,House,Introduced,,1
HCR0028,2015,131,2016-09-28,Senate,Refer to Committee,State and Local Government,5
HCR0028,2015,131,2016-05-19,Senate,Offered,,4
HCR0028,2015,131,2016-05-18,House,Adopted,,3
HCR0028,2015,131,2015-12-09,House,Reported,Energy and Natural Resources,2
HCR0028,2015,131,2015-10-26,House,Introduced and Referred to Committee,Energy and Natural Resources,1
HR0028,2015,131,2015-03-10,House,Introduced and Referred to Committee,Transportation and Infrastructure,1
HB0029,2015,131,2015-09-24,,Effective 9/24/15,,9
HB0029,2015,131,2015-06-03,Senate,Passed,,8
HB0029,2015,131,2015-04-22,Senate,Reported,Health and Human Services,7
HB0029,2015,131,2015-03-04,Senate,Refer to Committee,Health and Human Services,6
HB0029,2015,131,2015-02-23,Senate,Introduced,,5
HB0029,2015,131,2015-02-18,House,Passed,,4
HB0029,2015,131,2015-02-18,House,Reported - Amended,Health and Aging,3
HB0029,2015,131,2015-02-10,House,To committee,Health and Aging,2
HB0029,2015,131,2015-02-03,House,Introduced,,1
HCR0029,2015,131,2016-09-28,Senate,Refer to Committee,Energy and Natural Resources,5
HCR0029,2015,131,2016-05-19,Senate,Offered,,4
HCR0029,2015,131,2016-05-18,House,Adopted,,3
HCR0029,2015,131,2016-01-27,House,Reported,Energy and Natural Resources,2
HCR0029,2015,131,2015-11-16,House,Introduced and Referred to Committee,Energy and Natural Resources,1
HR0029,2015,131,2015-03-10,House,Adopted,,1
HCR0030,2015,131,2016-02-23,Senate,Refer to Committee,Energy and Natural Resources,5
HCR0030,2015,131,2016-02-18,Senate,Offered,,4
HCR0030,2015,131,2016-02-17,House,Adopted,,3
HCR0030,2015,131,2016-01-27,House,Reported,Energy and Natural Resources,2
HCR0030,2015,131,2015-11-16,House,Introduced and Referred to Committee,Energy and Natural Resources,1
HR0030,2015,131,2015-03-10,House,Adopted,,1
HB0030,2015,131,2015-02-10,House,To committee,Judiciary,2
HB0030,2015,131,2015-02-03,House,Introduced,,1
HB0031,2015,131,2015-03-10,Senate,Refer to Committee,State and Local Government,6
HB0031,2015,131,2015-03-09,Senate,Introduced,,5
HB0031,2015,131,2015-03-04,House,Passed,,4
HB0031,2015,131,2015-03-02,House,Reported,State Government,3
HB0031,2015,131,2015-02-10,House,To committee,State Government,2
HB0031,2015,131,2015-02-03,House,Introduced,,1
HCR0031,2015,131,2016-01-20,Senate,Refer to Committee,Government Oversight and Reform,3
HCR0031,2015,131,2015-12-10,Senate,Offered,,2
HCR0031,2015,131,2015-11-17,House,Adopted,,1
HR0031,2015,131,2015-03-10,House,Adopted,,1
HCR0032,2015,131,2016-12-07,Senate,Reported,Government Oversight and Reform,7
HCR0032,2015,131,2016-05-24,Senate,Re-referred,Government Oversight and Reform,6
HCR0032,2015,131,2016-05-04,Senate,Refer to Committee,Education,5
HCR0032,2015,131,2016-05-02,Senate,Offered,,4
HCR0032,2015,131,2016-04-27,House,Adopted,,3
HCR0032,2015,131,2016-04-25,House,Reported,State Government,2
HCR0032,2015,131,2016-01-20,House,Introduced and Referred to Committee,State Government,1
HR0032,2015,131,2015-03-12,House,Adopted,,1
HB0032,2015,131,2015-02-10,House,To committee,Ways and Means,2
HB0032,2015,131,2015-02-03,House,Introduced,,1
HCR0033,2015,131,2016-09-28,Senate,Refer to Committee,Energy and Natural Resources,5
HCR0033,2015,131,2016-05-19,Senate,Offered,,4
HCR0033,2015,131,2016-05-18,House,Adopted,,3
HCR0033,2015,131,2016-05-03,House,Reported,Agriculture and Rural Development,2
HCR0033,2015,131,2016-04-13,House,Introduced and Referred to Committee,Agriculture and Rural Development,1
HR0033,2015,131,2015-03-12,House,Adopted,,1
HB0033,2015,131,2015-02-10,House,To committee,Health and Aging,2
HB0033,2015,131,2015-02-03,House,Introduced,,1
HB0034,2015,131,2016-12-08,Senate,Reported,Government Oversight and Reform,9
HB0034,2015,131,2015-10-07,Senate,Refer to Committee,Government Oversight and Reform,8
HB0034,2015,131,2015-10-01,Senate,Introduced,,7
HB0034,2015,131,2015-09-30,House,Passed,,6
HB0034,2015,131,2015-05-07,House,Reported,State Government,5
HB0034,2015,131,2015-03-04,House,Re-referred,State Government,4
HB0034,2015,131,2015-02-25,House,Re-referred,Rules and Reference,3
HB0034,2015,131,2015-02-10,House,To committee,Health and Aging,2
HB0034,2015,131,2015-02-03,House,Introduced,,1
HR0034,2015,131,2015-03-17,House,Adopted,,1
HCR0034,2015,131,2016-04-26,House,Introduced and Referred to Committee,State Government,1
HB0035,2015,131,2015-02-19,House,Re-referred,State Government,4
HB0035,2015,131,2015-02-18,House,Re-referred,Rules and Reference,3
HB0035,2015,131,2015-02-10,House,To committee,Government Accountability and Oversight,2
HB0035,2015,131,2015-02-03,House,Introduced,,1
HR0035,2015,131,2015-03-17,House,Adopted,,1
