bill_id,term,session,title,commem
HB0296,2023_2024,2023-RS,INSTRUCTIONAL SUPPORT PROVIDERS,0
HB0297,2023_2024,2023-RS,CORRECTIONS ADVISORY BOARD ACT,0
HB0298,2023_2024,2023-RS,PUBLIC PROJECT REVOLVING FUND APPROPS.,0
HB0299,2023_2024,2023-RS,ELEVATOR SAFETY ACT,0
HB0300,2023_2024,2023-RS,PUBLIC EMPLOYEE TELEWORK,0
HB0301,2023_2024,2023-RS,GAMING OPERATOR LICENSE RATE DIFFERENTIAL,0
HB0302,2023_2024,2023-RS,"SCHOOL-AGE NAME, IMAGE & LIKENESS USE",0
HB0303,2023_2024,2023-RS,RURAL AIR SERVICE ENHANCEMENT FUND,0
HB0304,2023_2024,2023-RS,PUBLIC EMPLOYEE RETIREMENT NEEDS TRUSTS,0
HB0305,2023_2024,2023-RS,SURROGACY & PARENTAL DETERMINATION,0
HB0306,2023_2024,2023-RS,PURCHASE OF FIREARMS FOR ANOTHER,0
HB0307,2023_2024,2023-RS,VETERAN HEROES DOCUMENTARY PROJECT,0
HB0308,2023_2024,2023-RS,SPECIAL NEEDS ADOPTION TAX CREDIT,0
HB0309,2023_2024,2023-RS,NONPROFIT GAMING MACHINE MAX AWARD,0
HB0310,2023_2024,2023-RS,TAX INCREMENT DEVELOPMENT DIST. CHANGES,0
HB0311,2023_2024,2023-RS,CSG GRANT WRITING ASSISTANCE,0
HB0312,2023_2024,2023-RS,ABUSE CASE BEST INTEREST OF CHILD,0
HB0313,2023_2024,2023-RS,CANNABIS REGULATION CHANGES,0
HB0314,2023_2024,2023-RS,CANNABIS RECORD EXPUNGEMENT,0
HB0315,2023_2024,2023-RS,CANNABIS TAX DISTRIBUTIONS,0
