bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0041,2023,RS,Murphy,Brandtjen; Behnke; Bodden; Donovan; Wichgers,Jacque,A - Criminal Justice and Public Safety,An Act to amend 165.775 (3) (b) and 165.775 (4) (b) of the statutes;  Relating to: a time limitation for processing sexual assault kits. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab41
ab0042,2023,RS,Sortwell,Knodl; Duchow,Stroebel; Marklein; Nass,S - Government Operations,An Act to create 16.867 (3) of the statutes;  Relating to: selection of architects and engineers for state projects. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab42
ab0043,2023,RS,Joint Committee on Finance,by request of Governor Tony Evers,,A - Tabled,"An Act;  Relating to: state finances and appropriations, constituting the executive budget act of the 2023 legislature. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab43
ab0044,2023,RS,Mursau,Armstrong; Behnke; Brooks; Dittrich; Spiros; Wichgers,Jacque; Taylor,A - Environment,An Act to create 292.11 (9) (g) of the statutes;  Relating to: the responsibility of a property owner for discharge of a hazardous substance by another.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab44
ab0045,2023,RS,Knodl,Steffen; Armstrong; Behnke; Brandtjen; Dallman; Dittrich; Donovan; Duchow; Gundrum; Kitchens; Kurtz; Macco; Murphy; Mursau; Rettinger; Rodriguez; Rozar; Snyder; Sortwell; Swearingen; Tittl; Tusler; Zimmerman,Bradley; Feyen; Nass; Stroebel; Testin; Tomczyk; Wanggaard; Wimberger,A - Tabled,An Act to create 66.04045 of the statutes;  Relating to: restricting local regulation of utility service based on the type or source of energy. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab45
ab0046,2023,RS,Plumer,Mursau; Behnke; Bodden; Murphy; O'Connor; Schraa,Ballweg; Felzkowski; Marklein,A - Energy and Utilities,"An Act to create 66.0401 (7), 196.378 (1) (e), 196.378 (4j), 196.491 (1) (h) and 196.491 (3) (a) 4. of the statutes;  Relating to: requiring notice to political subdivisions and landowners regarding proposed large solar energy facilities, requirements for applying for certificates for large solar electric generating facilities, joint development agreements related to large solar electric generating facilities, and granting rule-making authority. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab46
ab0047,2023,RS,Spiros,Duchow; Schraa; Allen; Brandtjen; Dittrich; Donovan; Edming; Knodl; Michalski; Murphy; O'Connor; Rettinger; Rozar; Schutt; Steffen; Wichgers,Wanggaard; Bradley; James; Ballweg; Cabral-Guevara; Cowles; Jacque; Marklein; Nass; Stroebel,A - Enacted into Law,"An Act to amend 19.85 (1) (a), 19.85 (1) (d), 304.06 (1) (d) 1., 304.06 (1) (d) 3g. and 304.06 (1) (eg); and to create 304.01 (3), (4) and (5) of the statutes;  Relating to: public access to actions by Parole Commission.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab47
ab0048,2023,RS,Kitchens,Billings; J. Anderson; Andraca; Baldeh; Clancy; Conley; Considine; Drake; Emerson; Goyke; Green; Gundrum; Gustafson; Haywood; Joers; Madison; Myers; Ohnstad; Ortiz-Velez; Palmeri; Riemer; Rodriguez; Rozar; Schraa; Shankland; Sinicki; Snyder; Subeck; Vining; Wittke,James; L. Johnson; Agard; Ballweg; Cowles; Felzkowski; Hesselbein; Larson; Roys; Smith; Spreitzer; Taylor; Wirch,A - Criminal Justice and Public Safety,"An Act to amend 51.20 (13) (cr), 165.76 (1) (am), 938.34 (15) (a) 1., 944.30 (1m) (intro.), 944.30 (2m) and 973.015 (2m) (intro.) of the statutes;  Relating to:  prosecuting or adjudicating delinquent a person under the age of 18 for committing an act of prostitution.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab48
ab0049,2023,RS,Penterman,S. Johnson; Allen; Bare; Behnke; Dittrich; Duchow; Edming; Murphy; Ortiz-Velez; Rettinger; Schmidt; Sinicki; Spiros; Myers; Brooks,Testin; Nass; Ballweg; Cowles,A - Enacted into Law,An Act to amend 346.50 (2) and 346.50 (2a) (intro.) of the statutes;  Relating to: disabled parking privileges on University of Wisconsin System campuses. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab49
ab0050,2023,RS,Binsfeld,Behnke; Brooks; Brandtjen; Donovan; Kitchens; Murphy; Mursau; Rettinger; Sapik; Wichgers,Jacque; Marklein,A - Criminal Justice and Public Safety,An Act to amend 943.20 (3) (a) and 943.20 (3) (bf) of the statutes;  Relating to: felony theft of property and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab50
ab0051,2023,RS,Macco,Steffen; Kitchens; Armstrong; Baldeh; Behnke; Duchow; Edming; Emerson; S. Johnson; Krug; Michalski; Murphy; Mursau; O'Connor; Ohnstad; Ortiz-Velez; Schmidt; Schraa; Snyder; Green,James; Taylor; Jacque,S - Available for Scheduling,An Act to renumber and amend 66.0501 (1); and to create 66.0501 (1) (b) and 165.85 (4) (a) 1m. of the statutes;  Relating to: appointment of certain lawfully present aliens as law enforcement officers.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab51
ab0052,2023,RS,Spiros,Allen; Armstrong; Behnke; Brandtjen; Brooks; Donovan; Duchow; Edming; Green; Gundrum; Knodl; Krug; Michalski; Moses; Novak; O'Connor; Ortiz-Velez; Penterman; Rettinger; Rozar; Snyder; Steffen,James; Ballweg; Bradley; Feyen; Marklein; Nass; Stroebel; Testin; Tomczyk; Wanggaard,A - Rules,"An Act to renumber 943.23 (1r); to renumber and amend 943.23 (1g); to amend 48.685 (5) (bm) 3., 48.686 (1) (c) 9., 103.34 (1) (b) 3., 165.84 (7) (ab) 1., 301.048 (2) (bm) 1. a., 301.26 (4) (cm) 1., 302.11 (1g) (a) 2., 753.061 (2m), 938.208 (1) (a), 938.34 (4h) (a), 938.34 (4m) (b) 1., 938.78 (3), 939.619 (1), 939.62 (2m) (a) 2m. b., 939.632 (1) (e) 1., 940.03, 941.29 (1g) (a), 941.291 (1) (b), 943.23 (4m), 946.82 (4), 949.03 (2), 969.08 (10) (b), 973.0135 (1) (b) 2., 973.123 (1) and 978.13 (1) (c); and to create 939.22 (21) (qm), 941.38 (1) (b) 17m. and 943.231 (title) and (3) of the statutes;  Relating to: reorganizing the crimes commonly known as “carjacking” and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab52
ab0053,2023,RS,Duchow,Armstrong; Donovan; Moses; Murphy; Mursau; Nedweski; Novak; Rettinger; Sortwell,Jagler; Wanggaard; James; Nass; Stroebel; Cowles; Marklein,S - Education,"An Act to create 115.385 (1) (e), 115.385 (1g) (g) and 118.124 of the statutes;  Relating to: reporting certain crimes and other incidents that occur on school property or school transportation and granting rule-making authority. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab53
ab0054,2023,RS,Duchow,Behnke; Brooks; Dittrich; Donovan; Edming; Kitchens; Magnafici; Michalski; Murphy; Novak; O'Connor; Rettinger; Rodriguez; Rozar; Spiros; Steffen; Wichgers; Wittke,Wanggaard; Bradley; Stroebel; Cowles; Marklein; Tomczyk,A - Tabled,"An Act to renumber 969.001 (2); to renumber and amend 969.01 (1) and 969.035 (1); to amend 165.957 (4) (a) 1. and 2. and (c), 969.01 (4), 969.02 (3) (d) and 969.03 (1) (e); and to create 969.001 (2m), 969.001 (3) and 969.01 (1) (b) 2. of the statutes;  Relating to: statutory changes to implement the constitutional amendment relating to conditions of release.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab54
ab0055,2023,RS,Donovan,Knodl; Allen; Baldeh; Binsfeld; Duchow; Gundrum; S. Johnson; Kurtz; Maxey; Murphy; Myers; Nedweski; Novak; O'Connor; Ortiz-Velez; Rettinger; Steffen,Stroebel; L. Johnson; Jacque; Nass; Taylor,A - Enacted into Law,"An Act to amend 346.65 (1) (a), 346.65 (1) (b), 346.65 (3), 346.65 (4m), 346.65 (5), 346.655 (1) and 346.657 (1) of the statutes;  Relating to: penalties for reckless driving and providing a penalty. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab55
ab0056,2023,RS,Donovan,Knodl; Allen; Baldeh; Binsfeld; Duchow; Gundrum; S. Johnson; Kurtz; Maxey; Murphy; Myers; Nedweski; Novak; O'Connor; Ortiz-Velez; Rettinger; Steffen,Nass; L. Johnson; Ballweg; Jacque; Taylor,A - Tabled,An Act to repeal 349.025 (1) (b); to renumber and amend 349.01 (2); to amend 349.03 (5) (a); and to create 349.01 (2) (m) and 349.115 of the statutes;  Relating to: impoundment of vehicles used in certain reckless driving offenses.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab56
ab0057,2023,RS,Rettinger,Michalski; Donovan; Behnke; Gundrum; Knodl; Murphy; Nedweski; Rozar; Summerfield,Hutton; Nass; Jacque,A - Veto Sustained,"An Act to repeal 971.37; to amend 20.410 (1) (gL), 20.437 (1) (hh), 814.75 (8), 814.75 (8m), 814.76 (6), 814.80 (6), 814.81 (6), 971.38 (1) and 971.39 (1) (intro.); and to create 967.056 and 968.075 (7) (c) of the statutes;  Relating to:  dismissing or amending certain criminal charges and  deferred prosecution agreements for certain crimes.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab57
ab0058,2023,RS,Michalski,Duchow; Allen; Armstrong; Behnke; Dittrich; Donovan; Gundrum; Maxey; Murphy; O'Connor; Rettinger,James; Feyen; Nass; Stroebel; Wanggaard,S - Judiciary and Public Safety,An Act to create 941.29 (4g) of the statutes;  Relating to: mandatory minimum sentence for felons who illegally possess a firearm and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab58
ab0059,2023,RS,Sortwell,Steffen; Behnke; Duchow; Green; Gundrum; Murphy; Mursau; Penterman; Tusler,Wanggaard; Taylor,A - Judiciary,"An Act to renumber and amend 949.01 (6), 949.03 (intro.), (1m), (2), (3) and (4) and 949.05; to amend 949.035 (1), 949.04 (3), 949.06 (1) (intro.), 949.06 (3) (intro.), 949.08 (1), (1m) (a) and (2) (a) and (b) and 949.15 (1); and to create 949.01 (6) (b), 949.03 (2m), 949.05 (2m) and 949.06 (3m) of the statutes;  Relating to: providing victim compensation for damage to a building by means of fire or explosives. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab59
ab0060,2023,RS,Bodden,Wichgers; Behnke; Brandtjen; Donovan; Gundrum; Murphy; Ortiz-Velez; Penterman; Sinicki; Subeck,Jacque,A - Rules,An Act to create 134.47 of the statutes;  Relating to: requirements for adult-entertainment establishments and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab60
ab0061,2023,RS,Behnke,Joers; Knodl; Andraca; Baldeh; Doyle; Gustafson; Murphy; O'Connor; Ratcliff; Shankland; Subeck; Jacobson,Jacque; Hesselbein; Spreitzer,A - Tabled,An Act to create 20.370 (4) (gs) and 281.335 of the statutes;  Relating to: creating a deicer applicators certification program and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab61
ab0062,2023,RS,Brooks,Green; Armstrong; Dittrich; Donovan; Duchow; Edming; Gundrum; Kitchens; Knodl; Macco; Michalski; O'Connor; Rettinger; Rozar; Schmidt; Spiros; Swearingen; Tittl,Stroebel; Ballweg; Cowles; Felzkowski; Feyen; James; Marklein; Quinn; Wanggaard,A - Enacted into Law,"An Act to amend 40.51 (8), 40.51 (8m), 66.0137 (4), 120.13 (2) (g) and 185.983 (1) (intro.); and to create 632.722 of the statutes;  Relating to: assignment of dental benefits under health insurance.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab62
ab0063,2023,RS,Rozar,Allen; Behnke; Brooks; Callahan; Dittrich; Donovan; Edming; Gundrum; Knodl; Krug; Moses; Murphy; Mursau; Neylon; O'Connor; Penterman; Schutt; Steffen; Tusler; Zimmerman,Wimberger; Ballweg; Bradley; Felzkowski; Jagler; James; Marklein; Nass; Quinn; Stroebel; Wanggaard,A - Criminal Justice and Public Safety,An Act to create 253.109 and 940.01 (1) (c) of the statutes;  Relating to: requirements for children born alive following abortion or attempted abortion and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab63
ab0064,2023,RS,Kitchens,Novak; Shankland; Krug; C. Anderson; J. Anderson; Andraca; Armstrong; Baldeh; Behnke; Considine; Donovan; Emerson; Green; Joers; Knodl; Moses; Mursau; Oldenburg; Petryk; Plumer; Rozar; Snodgrass; Snyder; Spiros; Subeck; O'Connor,Cowles; Testin; Ballweg; Cabral-Guevara; Pfaff; Roys; Spreitzer,A - Rules,"An Act to repeal 281.75 (2) (e), 281.75 (9) (a) and 281.75 (11) (ae); to renumber and amend 281.75 (5) (f) and 281.75 (9) (b); to amend 281.75 (7) (c) 7., 281.75 (11) (a) 8. and 281.75 (11m); and to create 281.75 (2) (g), 281.75 (5) (f) 2., 281.75 (7) (d) and 281.75 (9) (am), (bm), (c) and (d) of the statutes;  Relating to: nitrate contamination and the well compensation grant program. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab64
ab0065,2023,RS,Kitchens,Novak; Tranel; Shankland; Krug; J. Anderson; Andraca; Armstrong; Baldeh; Behnke; Considine; Dittrich; Donovan; Emerson; Green; Joers; S. Johnson; Knodl; Mursau; O'Connor; Oldenburg; Petryk; Plumer; Rozar; Sinicki; Snodgrass; Snyder; Spiros; VanderMeer,Cowles; Ballweg; Cabral-Guevara; Feyen; Jacque; Marklein; Pfaff; Quinn; Spreitzer; Testin,A - Enacted into Law,"An Act to amend 93.59 (2) (a), 93.59 (2) (d), 93.59 (3), 281.68 (1t) (intro.), 281.68 (3) (a) 1. and 281.69 (3) (a); and to create 281.68 (1) (ar), 281.69 (1b) (br), 281.70 (1) (am) and 281.70 (4) (a) 4. of the statutes;  Relating to: eligibility for producer-led watershed, lake, and river protection grants. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab65
ab0066,2023,RS,Duchow,Neylon; Behnke; Donovan; Emerson; S. Johnson; Kitchens; Knodl; Moses; Murphy; Mursau; Nedweski; O'Connor; Penterman; Pronschinske; Rettinger; Rodriguez; Rozar; Snodgrass; Spiros; Steffen; Tusler,Cowles; Spreitzer; Taylor; Wanggaard,A - Tabled,An Act to amend 342.14 (3) and 342.14 (3m); and to create 342.01 (2) (aj) of the statutes;  Relating to: fees for certain motor vehicle certificate of title transfers. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab66
ab0067,2023,RS,Green,August; Armstrong; Brooks; Dittrich; Duchow; Goeben; Gundrum; Kitchens; Moses; Murphy; Mursau; Nedweski; O'Connor; Penterman; Plumer; Rettinger; Sinicki; Spiros; Tittl,Nass; Marklein; Cowles; Taylor,A - Enacted into Law,An Act to amend 36.49 (4) of the statutes;  Relating to: the award of Wisconsin Merit scholarships to University of Wisconsin System students. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab67
ab0068,2023,RS,Allen,Knodl; Behnke; Bodden; Brooks; Duchow; Donovan; Gundrum; Murphy; Penterman; Rettinger; Rozar; Spiros; Steffen,Wanggaard; Bradley; Hutton; Nass; Stroebel,A - Rules,An Act to amend 940.02 (2) (intro.) of the statutes;  Relating to: first-degree reckless homicide and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab68
ab0069,2023,RS,Rettinger,Duchow; Penterman; Behnke; Donovan; Gundrum; Moses; Murphy; Nedweski,Cabral-Guevara,S - Received,"An Act to create 118.07 (6) of the statutes;  Relating to: reporting to law enforcement certain crimes and other incidents that occur in or on public school buildings and grounds, requiring certain schools to employ armed school resource officers, and allocating federal American Rescue Plan Act of 2021 funding to reimburse schools for costs of employing armed school resource officers. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab69
ab0070,2023,RS,Spiros,Behnke; Callahan; Dittrich; Donovan; Edming; Green; Kitchens; Moses; Murphy; Mursau; Neylon; Penterman; Plumer; Rettinger; Rozar,Wanggaard; Ballweg; Cabral-Guevara; James; Marklein,S - Judiciary and Public Safety,An Act to create 947.065 of the statutes;  Relating to: participation in a riot and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab70
ab0071,2023,RS,Kurtz,Novak; C. Anderson; Behnke; Bodden; Brandtjen; Cabrera; Donovan; Edming; Green; Gustafson; Kitchens; Knodl; Mursau; Ohnstad; Ortiz-Velez; Wichgers; Clancy,Jacque; Carpenter; Spreitzer,A - Sporting Heritage,"An Act to amend 27.01 (7) (c) 11., 27.01 (8) (bn) 1., 29.193 (3) (c) and 29.563 (13) (b); and to create 29.235 (3r) and 29.563 (4) (a) 2w. of the statutes;  Relating to: the disability rating at which veterans qualify for certain hunting and fishing authorizations and exemptions from state park and trail admission fees. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab71
ab0072,2023,RS,Tusler,Penterman; Edming; Bodden; Mursau; Kitchens; Magnafici; Rozar; Steffen,Testin; Cabral-Guevara; Felzkowski; Taylor,A - Sporting Heritage,"An Act to amend 25.29 (1) (a), 29.219 (4), 29.229 (2) (i), 29.2295 (2) (i), 29.231 (2), 29.236 (2), 29.563 (3) (a) 3. and 29.624 (1); and to create 25.17 (1) (jf), 25.29 (1) (g), 25.299, 29.219 (2g), 29.229 (2) (gm), 29.2295 (2) (gm) and 29.563 (3) (a) 4g. of the statutes;  Relating to: a resident lifetime fishing license, a lifetime fishing trust fund, providing an exemption from emergency rule procedures, and granting rule-making authority. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab72
ab0073,2023,RS,Oldenburg,Plumer; Brooks; Knodl; Michalski; Mursau; Nedweski; Rodriguez; Subeck,Ballweg; Cowles; Felzkowski; Marklein; Pfaff; Wanggaard,A - Tabled,An Act to amend 79.04 (5) (a) (intro.) and 79.04 (5) (b) (intro.); and to create 79.005 (1h) and 79.04 (8) of the statutes;  Relating to: changing the phase-out of utility aid payments for decommissioned power plants. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab73
ab0074,2023,RS,Plumer,Brooks; Edming; Gundrum; S. Johnson; Kitchens; Krug; Mursau; Novak; Oldenburg; Shankland; Spiros; Tranel; VanderMeer; Wittke; O'Connor,Tomczyk; Ballweg; Cowles; Felzkowski; James; Marklein; Nass; Spreitzer; Stafsholt; Stroebel; Taylor,A - Tabled,An Act to amend 343.17 (3) (d) 1g. of the statutes;  Relating to: seasonal period for farm service license endorsement.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab74
ab0075,2023,RS,Spiros,Nedweski; Plumer; Rettinger; Rodriguez; Steffen; Kitchens; Behnke; Ohnstad,Wanggaard; Cabral-Guevara,A - Judiciary,"An Act to amend 951.01 (2), 951.02, 951.18 (1) and 951.18 (4) (c); and to create 951.01 (3c) of the statutes;  Relating to: mistreating an animal and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab75
ab0076,2023,RS,Sortwell,Behnke; Bodden; Duchow; Edming; Gundrum; Magnafici; Murphy; Mursau; Penterman; Rettinger; Rozar; Spiros; Tusler; Tittl,Stroebel,A - Campaigns and Elections,An Act to amend 304.078 (3) of the statutes;  Relating to: restoration of the right to vote to a person barred from voting as a result of a felony conviction. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab76
ab0077,2023,RS,Sortwell,Allen; Armstrong; Behnke; Bodden; Brooks; Gustafson; O'Connor; Murphy; Rettinger; Tusler,Cabral-Guevara; Ballweg; Nass; Stroebel; Tomczyk; Wanggaard; Felzkowski,A - Education,An Act to create 118.60 (3) (am) and 119.23 (3) (am) of the statutes;  Relating to: pupil applications to attend a private school participating in a parental choice program.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab77
ab0078,2023,RS,Rettinger,Gundrum; Allen; Armstrong; Behnke; Brandtjen; Donovan; Knodl; Murphy; Wichgers,Jacque; Carpenter,A - Criminal Justice and Public Safety,"An Act to renumber 940.198 (1) (a) and 971.109 (1) (a); to renumber and amend 939.623 (1); to amend 343.12 (7) (c) 9j., 813.12 (5b), 813.123 (6g), 813.125 (5b), 911.01 (4) (c), 939.623 (title), 939.623 (2) (intro.), 939.623 (3), 940.198 (title), 940.198 (1) (b), 940.198 (2) (a), 940.198 (2) (b), 940.198 (2) (c), 940.198 (3) (a), 940.198 (3) (b), 940.198 (3) (c), 940.198 (4), 971.109 (title), 971.109 (2) (a) and 971.109 (2) (c); and to create 813.12 (1) (ab), 813.125 (1) (am) 2., 939.623 (1) (b), 940.198 (1) (ag), 940.225 (1) (e) and 971.109 (1) (ac) of the statutes;  Relating to: increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab78
